City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census)
Tulchyn,???????,Vinnytsia Oblast,R,"16,136"
Haivoron,????????,Kirovohrad Oblast,R,"16,126"
Horodok,???????,Lviv Oblast,R,"16,082"
Hola Prystan,???? ????????,Kherson Oblast,R,"16,028"
Nosivka,???????,Chernihiv Oblast,R,"15,966"
Zhashkiv,??????,Cherkasy Oblast,R,"15,853"
Horodysche,????????,Cherkasy Oblast,R,"15,645"
Vasylivka,?????????,Zaporizhia Oblast,R,"15,592"
Kamianka-Dniprovska,???'????-???????????,Zaporizhia Oblast,R,"15,522"
Petrovske,??????????,Luhansk Oblast,R,"15,478"
Beryslav,????????,Kherson Oblast,R,"15,455"
Snihurivka,??????????,Mykolaiv Oblast,R,"15,447"
Radomyshl,?????????,Zhytomyr Oblast,R,"15,326"
Burshtyn,???????,Ivano-Frankivsk Oblast,R,"15,298"
Rakhiv,?????,Zakarpattia Oblast,R,"15,241"
Novhorod-Siverskyi,????????-??????????,Chernihiv Oblast,R,"15,175"
Kamianka,???'????,Cherkasy Oblast,R,"15,109"
Tetiiv,??????,Kiev Oblast,R,"14,944"
Mykolaiv,????????,Lviv Oblast,R,"14,801"
Ostroh,??????,Rivne Oblast,O,"14,801"
Zelenodolsk,?????????????,Dnipropetrovsk Oblast,R,"14,792"
Vakhrusheve,?????????,Luhansk Oblast,R,"14,773"
Khorol,?????,Poltava Oblast,R,"14,753"
Storozhynets,???????????,Chernivtsi Oblast,R,"14,693"
Sudak,?????,Crimea,O,"14,495"
Siversk,????????,Donetsk Oblast,R,"14,393"
Koriukivka,?????????,Chernihiv Oblast,R,"14,318"
Biliaivka,????????,Odessa Oblast,R,"14,294"
Hirnyk,??????,Donetsk Oblast,R,"14,207"
Ukrainka,????????,Kiev Oblast,R,"14,163"
Nova Odesa,???? ?????,Mykolaiv Oblast,R,"14,070"
Horodnia,???????,Chernihiv Oblast,R,"14,043"
Schastia,?????,Luhansk Oblast,R,"13,770"
Kaharlyk,????????,Kiev Oblast,R,"13,757"
Zhdanivka,????????,Donetsk Oblast,O,"13,688"
Berezne,???????,Rivne Oblast,R,"13,669"
Terebovlia,?????????,Ternopil Oblast,R,"13,661"
Vynnyky,???????,Lviv Oblast,R,"13,654"
Rozhysche,??????,Volyn Oblast,R,"13,636"
Yavoriv,??????,Lviv Oblast,R,"13,510"
Zhovkva,??????,Lviv Oblast,R,"13,474"
Tarascha,??????,Kiev Oblast,R,"13,452"
Myronivka,?????????,Kiev Oblast,R,"13,368"
Bershad,???????,Vinnytsia Oblast,R,"13,336"
Ukrainsk,?????????,Donetsk Oblast,R,"13,236"
Zbarazh,??????,Ternopil Oblast,R,"13,228"
Novomyrhorod,????????????,Kirovohrad Oblast,R,"13,220"
Uzyn,????,Kiev Oblast,R,"13,217"
Svitlodarsk,????????????,Donetsk Oblast,R,"13,184"
Soledar,???????,Donetsk Oblast,R,"13,151"
Bashtanka,????????,Mykolaiv Oblast,R,"13,146"
Mala Vyska,???? ?????,Kirovohrad Oblast,R,"13,132"
Teplohirsk,???????????,Luhansk Oblast,R,"13,053"
Barvinkove,??????????,Kharkiv Oblast,R,"12,998"
Prymorsk,?????????,Zaporizhia Oblast,R,"12,973"
Mena,????,Chernihiv Oblast,R,"12,940"
Hlobyne,???????,Poltava Oblast,R,"12,902"
Hnivan,???????,Vinnytsia Oblast,R,"12,832"
Komsomolske,?????????????,Donetsk Oblast,R,"12,813"
Ichnia,????,Chernihiv Oblast,R,"12,780"
Novoazovsk,???????????,Donetsk Oblast,R,"12,702"
Baranivka,?????????,Zhytomyr Oblast,R,"12,584"
Buchach,?????,Ternopil Oblast,R,"12,549"
Lokhvytsia,???????,Poltava Oblast,R,"12,389"
Schors,????,Chernihiv Oblast,R,"12,315"
Bobrynets,?????????,Kirovohrad Oblast,R,"12,300"
Nemyriv,???????,Vinnytsia Oblast,R,"12,082"
Kobeliaky,????????,Poltava Oblast,R,"12,076"
Rodynske,?????????,Donetsk Oblast,R,"11,996"
Chyhyryn,???????,Cherkasy Oblast,R,"11,960"
Bobrovytsia,?????????,Chernihiv Oblast,R,"11,916"
Sosnivka,????????,Lviv Oblast,R,"11,889"
Zhydachiv,???????,Lviv Oblast,R,"11,798"
Yampil,??????,Vinnytsia Oblast,R,"11,787"
Mospyne,???????,Donetsk Oblast,R,"11,736"
Borzna,??????,Chernihiv Oblast,R,"11,707"
Shcholkine,???????,Crimea,R,"11,699"
Buryn,??????,Sumy Oblast,R,"11,678"
Kamianka-Buzka,???'????-??????,Lviv Oblast,R,"11,674"
Hrebinka,????????,Poltava Oblast,R,"11,662"
Khrystynivka,???????????,Cherkasy Oblast,R,"11,650"
Hirske,???????,Luhansk Oblast,R,"11,473"
Tavriisk,?????????,Kherson Oblast,R,"11,452"
Borschiv,??????,Ternopil Oblast,R,"11,382"
Zymohiria,???????'?,Luhansk Oblast,R,"11,295"
Khotyn,?????,Chernivtsi Oblast,R,"11,216"
Illintsi,???????,Vinnytsia Oblast,R,"11,186"
Pomichna,???????,Kirovohrad Oblast,R,"10,946"
Olevsk,???????,Zhytomyr Oblast,R,"10,896"
Kamin-Kashyrskyi,??????-??????????,Volyn Oblast,R,"10,818"
Tatarbunary,???????????,Odessa Oblast,R,"10,797"
Pohrebysche,?????????,Vinnytsia Oblast,R,"10,754"
Marinka,???'????,Donetsk Oblast,R,"10,722"
Bolekhiv,???????,Ivano-Frankivsk Oblast,O,"10,633"
Inkerman,????????,Sevastopol,R,"10,628"
Zinkiv,???????,Poltava Oblast,R,"10,577"
Khodoriv,???????,Lviv Oblast,R,"10,565"
Sniatyn,??????,Ivano-Frankivsk Oblast,R,"10,479"
Derazhnia,???????,Khmelnytskyi Oblast,R,"10,446"
Liuboml,???????,Volyn Oblast,R,"10,395"
Valky,?????,Kharkiv Oblast,R,"10,381"
Novodnistrovsk,???????????????,Chernivtsi Oblast,O,"10,342"
Radyvyliv,?????????,Rivne Oblast,R,"10,311"
Vuhlehirsk,???????????,Donetsk Oblast,O,"10,309"
Sokyriany,????????,Chernivtsi Oblast,R,"10,258"
Verkhivtseve,??????????,Dnipropetrovsk Oblast,R,"10,142"
Zalischyky,????????,Ternopil Oblast,R,"10,125"
Staryi Krym,?????? ????,Crimea,R,"10,101"
Bilytske,????????,Donetsk Oblast,R,"10,093"
Pereschepyne,??????????,Dnipropetrovsk Oblast,R,"10,041"
Andrushivka,??????????,Zhytomyr Oblast,R,"9,890"
Pustomyty,?????????,Lviv Oblast,R,"9,798"
Horodenka,?????????,Ivano-Frankivsk Oblast,R,"9,794"
Tysmenytsia,?????????,Ivano-Frankivsk Oblast,R,"9,790"
Tiachiv,?????,Zakarpattia Oblast,R,"9,786"
Semenivka,?????????,Chernihiv Oblast,R,"9,656"
Dubrovytsia,?????????,Rivne Oblast,R,"9,644"
Kodyma,??????,Odessa Oblast,R,"9,634"
